Wall time,Step,Value
1680379976.884746,5120,4.0
1680380039.8250706,19456,4.0
1680380133.0861096,41984,4.0
1680380166.268784,49152,4.0
1680380236.827807,64512,4.0
1680380241.6156614,65536,4.0
1680380277.5157533,73728,4.0
1680380303.26156,79872,4.0
1680380322.7753537,84992,4.0
1680380355.7872674,92160,4.0
1680380419.1110766,106496,4.0
1680380438.3303971,110592,4.0
1680380504.3553064,124928,4.0
1680380536.5538738,132096,4.0
1680380546.3061433,134144,4.0
1680380673.0257788,161792,4.0
1680380687.6099522,164864,4.0
1680380698.0355017,166912,4.0
1680380707.2299662,168960,4.0
1680380745.5567162,177152,4.0
1680380833.6105797,196608,5.0
1680380889.6807795,208896,5.0
1680380899.616338,210944,5.0
1680381003.972034,235520,5.0
1680381067.5181296,250880,5.0
1680381072.19197,251904,5.0
1680381137.7062418,266240,5.0
1680381194.0896153,278528,5.0
1680381206.684715,281600,5.0
1680381239.5819643,289792,5.0
1680381253.2532642,292864,5.0
1680381297.5474885,303104,5.0
1680381391.7947404,324608,5.0
1680381404.4329586,327680,5.0
1680381418.9559982,330752,5.0
1680381527.852961,355328,5.0
1680381582.381737,367616,5.0
1680381609.3333614,373760,5.0
1680381619.4133713,375808,5.0
1680381666.9231615,388096,5.0
1680381699.8923204,396288,5.0
1680381716.3872464,400384,5.0
1680381769.2533247,412672,5.0
1680381830.239056,425984,5.0
1680381859.6998713,433152,5.0
1680381924.1126385,447488,7.0
1680381929.1386538,448512,7.0
1680381939.9491966,450560,7.0
1680381970.1765318,457728,7.0
1680382048.4431381,473088,7.0
1680382065.5092254,477184,7.0
1680382116.6326723,487424,7.0
1680382140.0074956,492544,7.0
1680382145.1546786,493568,7.0
1680382175.2554271,499712,7.0
1680382294.131907,523264,7.0
1680382304.3391767,525312,7.0
1680382309.7296202,526336,7.0
1680382329.8877125,530432,7.0
1680382408.3498254,546816,7.0
1680382431.8138535,551936,7.0
1680382441.296849,553984,7.0
1680382503.5051942,566272,7.0
1680382522.1310542,570368,7.0
1680382551.4370155,576512,7.0
1680382682.424095,605184,7.0
1680382702.929741,609280,7.0
1680382713.7114625,611328,7.0
1680382870.9460719,644096,7.0
1680382875.9302893,645120,7.0
1680382913.0969045,653312,7.0
