Wall time,Step,Value
1676536242.9562116,2560,1.0
1676536250.2764168,10240,1.0
1676536254.2442727,12800,1.0
1676536289.9452093,28160,2.0
1676536295.8891008,30720,2.0
1676536312.591442,38400,3.0
1676536317.4673645,40960,3.0
1676536330.9960785,48640,4.0
1676536335.4045389,51200,4.0
1676536339.458609,53760,4.0
1676536347.56762,58880,4.0
1676536352.0559344,61440,4.0
1676536363.6294527,69120,4.0
1676536367.7834504,71680,4.0
1676536391.007032,87040,4.0
1676536399.402057,94720,4.0
1676536402.1700656,97280,4.0
1676536405.2552092,99840,4.0
1676536409.4194722,102400,4.0
1676536413.2878072,104960,4.0
1676536442.793404,122880,5.0
1676536446.3521988,125440,5.0
1676536450.1733282,128000,5.0
1676536457.9191656,133120,5.0
1676536461.87235,135680,5.0
1676536469.9347801,140800,5.0
1676536479.6876917,148480,6.0
1676536489.9911644,156160,6.0
1676536493.246662,158720,6.0
1676536497.1409836,161280,6.0
1676536500.721391,163840,6.0
1676536507.5252082,168960,6.0
1676536511.122837,171520,6.0
1676536514.2829256,174080,6.0
1676536517.8227563,176640,6.0
1676536525.1941364,181760,6.0
1676536528.5782173,184320,6.0
1676536550.348253,199680,6.0
1676536557.8166268,204800,6.0
1676536561.360141,207360,6.0
1676536568.7196178,212480,6.0
1676536572.403971,215040,6.0
1676536579.89818,220160,6.0
1676536583.5624647,222720,6.0
1676536594.7421477,230400,7.0
1676536598.1607387,232960,7.0
1676536614.2749262,245760,8.0
1676536627.765908,256000,8.0
1676536630.9211543,258560,8.0
1676536641.4902704,266240,8.0
1676536651.5946634,273920,9.0
1676536654.7558312,276480,9.0
1676536661.5176177,281600,9.0
1676536677.8233936,294400,9.0
1676536684.3718367,299520,9.0
1676536701.629273,312320,9.0
1676536715.5492103,322560,9.0
1676536718.9417095,325120,9.0
1676536725.9473593,330240,9.0
1676536732.859801,335360,9.0
1676536736.1395426,337920,9.0
1676536739.8009908,340480,9.0
1676536746.6967328,345600,9.0
1676536753.8697264,350720,9.0
1676536757.3578658,353280,9.0
1676536778.28359,368640,9.0
1676536782.159913,371200,9.0
1676536789.1558294,376320,9.0
1676536792.5480292,378880,9.0
1676536803.1000092,386560,9.0
1676536826.4366903,404480,9.0
1676536833.4382012,409600,9.0
1676536837.2467978,412160,9.0
1676536844.4249406,417280,9.0
1676536851.9441357,422400,9.0
1676536858.8728027,427520,10.0
1676536873.2672195,437760,10.0
1676536876.9509678,440320,10.0
1676536880.4539287,442880,10.0
1676536891.1795225,450560,10.0
1676536894.7211587,453120,10.0
1676536898.354383,455680,10.0
1676536901.9155054,458240,10.0
1676536909.3660376,463360,11.0
1676536912.8505805,465920,11.0
1676536923.6474414,473600,11.0
1676536927.2271914,476160,11.0
1676536930.8905644,478720,11.0
1676536941.4664505,486400,11.0
1676536944.8466594,488960,11.0
1676536948.6046596,491520,11.0
1676536952.1397574,494080,11.0
